item,location,week,year,units
20064068017,3210,11,2024,1.071
20064068017,3210,12,2024,1.131
20064068017,3210,13,2024,1.147
20064068017,3210,14,2024,0.828
20064068017,3210,15,2024,0.99
20064068017,3210,16,2024,0.972
20064068017,3210,17,2024,1.011
20064068017,3210,44,2023,1.026
20064068017,3210,45,2023,1.045
20064068017,3210,46,2023,0.975
20064068017,3210,47,2023,1.137
20064068017,3210,48,2023,0.909
20064068017,3210,49,2023,0.86
20064068017,3210,50,2023,0.827
20064068017,3210,51,2023,0.668
20064068017,3210,52,2023,0.778
20064068017,3210,1,2024,0.776
20064068017,3210,2,2024,0.684
20064068017,3210,3,2024,0.704
20064068017,3210,4,2024,0.67
20064068017,3210,5,2024,1.059
20064068017,3210,6,2024,1.093
20064068017,3210,7,2024,1.162
20064068017,3210,8,2024,1.364
20064068017,3210,9,2024,1.275
20064068017,3210,10,2024,1.074
20064068017,3210,29,2023,0.95
20064068017,3210,30,2023,1.024
20064068017,3210,31,2023,1.043
20064068017,3210,32,2023,1.168
20064068017,3210,33,2023,1.027
20064068017,3210,34,2023,1.013
20064068017,3210,35,2023,1.197
20064068017,3210,36,2023,1.171
20064068017,3210,37,2023,0.884
20064068017,3210,38,2023,0.921
20064068017,3210,39,2023,0.96
20064068017,3210,40,2023,0.996
20064068017,3210,41,2023,1.008
20064068017,3210,42,2023,0.933
20064068017,3210,43,2023,0.922
20064068017,3210,18,2023,0.943
20064068017,3210,19,2023,0.91
20064068017,3210,20,2023,0.964
20064068017,3210,21,2023,1.067
20064068017,3210,22,2023,1.163
20064068017,3210,23,2023,0.918
20064068017,3210,24,2023,0.877
20064068017,3210,25,2023,0.955
20064068017,3210,26,2023,1.14
20064068017,3210,27,2023,1.099
20064068017,3210,28,2023,0.973
