item,location,on_hand,safety_stock,sales,volume,leadtime,cost,MaxCubes
20052773038,3010,271,4,3.008692,7.5,154,167.5,2350
20052773039,3010,246,4,3.079423,2.3,154,40,2350
20052773040,3010,16,4,26.068346,33.5,154,200,2350
20052773041,3010,41,4,20.337384,5.7,154,75,2350
20052773042,3010,1,6,13.163961,11.2,154,150,2350
20052773043,3010,0,6,3.42073,13.9,154,171,2350
20052773044,3010,284,4,3.00873,16.68,154,157.5,2350
20052773045,3010,39,4,8.109192,32.9,154,235,2350
20052773046,3010,11,4,10.026692,10.6,154,159,2350
20052773047,3010,79,4,15.474961,26.4,154,168,2350
20052773048,3010,2,6,18.940538,9.5,154,100,2350
20052773049,3010,1,4,6.463115,10.1,154,130,2350
20052773050,3010,61,4,41.179192,5.5,154,65,2350
20052773001,3010,271,6,7.6065,4.86,154,40,2350
20052773004,3010,21,6,4.1975,5.21,154,42,2350
20052773003,3010,281,6,7.61523,6.05,154,47,2350
20052773002,3010,12,4,1.473423,5.3,154,50,2350
20052773008,3010,38,4,0.377076,4.57,154,37,2350
20052773006,3010,2,4,1.383615,8.23,154,76,2350
20052773007,3010,29,6,4.205576,6.64,154,49,2350
20052773005,3010,45,4,0.381,4.89,154,40,2350
20052773009,3010,290,4,3.008692,7.5,154,40,2350
20052773010,3010,288,4,3.079423,2.3,154,200,2350
20052773011,3010,26,4,26.068346,33.5,154,75,2350
20052773012,3010,64,4,20.337384,5.7,154,150,2350
20052773013,3010,190,4,13.163961,11.2,154,171,2350
20052773014,3010,98,4,3.42073,13.9,154,157.5,2350
20052773015,3010,282,4,3.00873,16.68,154,235,2350
20052773016,3010,161,4,8.109192,32.9,154,159,2350
20052773017,3010,64,6,10.026692,10.6,154,168,2350
20052773018,3010,47,4,15.474961,26.4,154,100,2350
20052773019,3010,8,4,18.940538,9.5,154,130,2350
20052773020,3010,109,4,6.463115,10.1,154,65,2350
20052773021,3010,227,6,41.179192,5.5,154,40,2350
20052773022,3010,33,4,7.6065,4.86,154,42,2350
20052773023,3010,228,4,4.1975,5.21,154,47,2350
20052773024,3010,293,4,7.61523,6.05,154,50,2350
20052773025,3010,196,4,1.473423,5.3,154,37,2350
20052773026,3010,222,4,0.377076,4.57,154,76,2350
20052773027,3010,89,4,1.383615,8.23,154,49,2350
20052773028,3010,268,4,4.205576,6.64,154,40,2350
20052773029,3010,180,4,0.381,4.89,154,42,2350
20052773030,3010,288,4,3.008692,10.6,154,47,2350
20052773031,3010,273,4,3.079423,26.4,154,50,2350
20052773032,3010,176,4,26.068346,9.5,154,37,2350
20052773033,3010,30,4,20.337384,10.1,154,76,2350
20052773034,3010,59,6,13.163961,5.5,154,49,2350
20052773035,3010,46,4,3.42073,4.86,154,40,2350
20052773036,3010,232,4,3.00873,5.21,154,40,2350
20052773037,3010,27,4,8.109192,6.05,154,200,2350
20052773051,3010,227,6,3.008692,7.5,154,167.5,2350
20052773052,3010,33,4,3.079423,2.3,154,40,2350
20052773053,3010,228,4,26.068346,33.5,154,200,2350
20052773054,3010,293,4,20.337384,5.7,154,75,2350
20052773055,3010,196,6,13.163961,11.2,154,150,2350
20052773056,3010,222,4,3.42073,13.9,154,171,2350
20052773057,3010,89,4,3.00873,16.68,154,157.5,2350
20052773058,3010,268,4,8.109192,32.9,154,235,2350
20052773059,3010,180,4,10.026692,10.6,154,159,2350
20052773060,3010,288,4,15.474961,26.4,154,168,2350
20052773061,3010,273,4,18.940538,9.5,154,100,2350
20052773062,3010,176,4,6.463115,10.1,154,130,2350
20052773063,3010,30,4,41.179192,5.5,154,65,2350
20052773064,3010,59,4,7.6065,4.86,154,40,2350
20052773065,3010,46,6,4.1975,5.21,154,42,2350
20052773066,3010,232,4,7.61523,6.05,154,47,2350
20052773067,3010,246,4,1.473423,5.3,154,50,2350
20052773068,3010,16,4,0.377076,4.57,154,37,2350
20052773069,3010,41,6,1.383615,8.23,154,76,2350
20052773070,3010,1,4,4.205576,6.64,154,49,2350
