item,location,week,year,units
20052773005,3000,15,2024,0.569
20052773005,3000,16,2024,0.587
20052773005,3000,17,2024,0.573
20052773005,3000,18,2023,0.519
20052773005,3000,19,2023,0.487
20052773005,3000,20,2023,0.46
20052773005,3000,21,2023,0.535
20052773005,3000,22,2023,0.627
20052773005,3000,23,2023,0.513
20052773005,3000,24,2023,0.425
20052773005,3000,25,2023,0.484
20052773005,3000,26,2023,0.535
20052773005,3000,27,2023,0.526
20052773005,3000,28,2023,0.475
20052773005,3000,29,2023,0.506
20052773005,3000,30,2023,0.487
20052773005,3000,31,2023,0.546
20052773005,3000,32,2023,0.59
20052773005,3000,33,2023,0.495
20052773005,3000,34,2023,0.548
20052773005,3000,35,2023,0.624
20052773005,3000,36,2023,0.61
20052773005,3000,37,2023,0.46
20052773005,3000,38,2023,0.488
20052773005,3000,39,2023,0.508
20052773005,3000,40,2023,0.533
20052773005,3000,41,2023,0.548
20052773005,3000,42,2023,0.497
20052773005,3000,43,2023,0.462
20052773005,3000,44,2023,0.548
20052773005,3000,45,2023,0.543
20052773005,3000,46,2023,0.526
20052773005,3000,47,2023,0.621
20052773005,3000,48,2023,0.479
20052773005,3000,49,2023,0.447
20052773005,3000,50,2023,0.426
20052773005,3000,51,2023,0.365
20052773005,3000,52,2023,0.367
20052773005,3000,1,2024,0.474
20052773005,3000,2,2024,0.441
20052773005,3000,3,2024,0.453
20052773005,3000,4,2024,0.42
20052773005,3000,5,2024,0.397
20052773005,3000,6,2024,0.434
20052773005,3000,7,2024,0.557
20052773005,3000,8,2024,0.851
20052773005,3000,9,2024,0.707
20052773005,3000,10,2024,0.636
20052773005,3220,10,2024,0.483
20052773005,3220,11,2024,0.461
20052773005,3220,12,2024,0.406
20052773005,3220,13,2024,0.446
20052773005,3220,14,2024,0.339
20052773005,3220,15,2024,0.432
20052773005,3220,16,2024,0.446
20052773005,3220,17,2024,0.435
20052773005,3210,3,2024,0.257
20052773005,3210,4,2024,0.238
20052773005,3210,5,2024,0.225
20052773005,3210,6,2024,0.246
20052773005,3210,7,2024,0.316
20052773005,3210,8,2024,0.483
20052773005,3210,9,2024,0.401
20052773005,3210,10,2024,0.361
20052773005,3210,11,2024,0.344
20052773005,3210,12,2024,0.303
20052773005,3210,13,2024,0.333
20052773005,3210,14,2024,0.253
20052773005,3210,15,2024,0.323
20052773005,3210,16,2024,0.333
20052773005,3210,17,2024,0.325
20052773005,3220,30,2023,0.379
20052773005,3220,31,2023,0.425
20052773005,3220,32,2023,0.459
20052773005,3220,33,2023,0.385
20052773005,3220,34,2023,0.426
20052773005,3220,35,2023,0.474
20052773005,3220,36,2023,0.464
20052773005,3220,37,2023,0.349
20052773005,3220,38,2023,0.371
20052773005,3220,39,2023,0.386
20052773005,3220,40,2023,0.405
20052773005,3220,41,2023,0.417
20052773005,3220,42,2023,0.378
20052773005,3220,43,2023,0.351
20052773005,3220,44,2023,0.416
20052773005,3220,45,2023,0.413
20052773005,3220,46,2023,0.4
20052773005,3220,47,2023,0.472
20052773005,3220,48,2023,0.364
20052773005,3220,49,2023,0.34
20052773005,3220,50,2023,0.324
20052773005,3220,51,2023,0.278
20052773005,3220,52,2023,0.279
20052773005,3220,1,2024,0.36
20052773005,3220,2,2024,0.335
20052773005,3220,3,2024,0.344
20052773005,3220,4,2024,0.319
20052773005,3220,5,2024,0.301
20052773005,3220,6,2024,0.33
20052773005,3220,7,2024,0.423
20052773005,3220,8,2024,0.647
20052773005,3220,9,2024,0.537
20052773005,3210,47,2023,0.352
20052773005,3210,48,2023,0.272
20052773005,3210,49,2023,0.254
20052773005,3210,50,2023,0.242
20052773005,3210,51,2023,0.207
20052773005,3210,52,2023,0.208
20052773005,3210,1,2024,0.269
20052773005,3210,2,2024,0.25
20052773005,3200,18,2023,0.438
20052773005,3200,19,2023,0.41
20052773005,3200,20,2023,0.388
20052773005,3200,21,2023,0.451
20052773005,3200,22,2023,0.529
20052773005,3200,23,2023,0.432
20052773005,3200,24,2023,0.358
20052773005,3200,25,2023,0.408
20052773005,3200,26,2023,0.458
20052773005,3200,27,2023,0.45
20052773005,3200,28,2023,0.406
20052773005,3200,29,2023,0.433
20052773005,3200,30,2023,0.417
20052773005,3200,31,2023,0.467
20052773005,3200,32,2023,0.505
20052773005,3200,33,2023,0.424
20052773005,3200,34,2023,0.469
20052773005,3200,35,2023,0.522
20052773005,3200,36,2023,0.511
20052773005,3200,37,2023,0.384
20052773005,3200,38,2023,0.408
20052773005,3200,39,2023,0.425
20052773005,3200,40,2023,0.446
20052773005,3200,41,2023,0.459
20052773005,3200,42,2023,0.416
20052773005,3200,43,2023,0.386
20052773005,3200,44,2023,0.458
20052773005,3200,45,2023,0.454
20052773005,3200,46,2023,0.44
20052773005,3200,47,2023,0.519
20052773005,3200,48,2023,0.401
20052773005,3200,49,2023,0.374
20052773005,3200,50,2023,0.356
20052773005,3200,51,2023,0.306
20052773005,3200,52,2023,0.307
20052773005,3200,1,2024,0.397
20052773005,3200,2,2024,0.369
20052773005,3200,3,2024,0.379
20052773005,3200,4,2024,0.351
20052773005,3200,5,2024,0.332
20052773005,3200,6,2024,0.363
20052773005,3200,7,2024,0.466
20052773005,3200,8,2024,0.712
20052773005,3200,9,2024,0.591
20052773005,3200,10,2024,0.158
20052773005,3200,11,2024,0.15
20052773005,3200,12,2024,0.0
20052773005,3200,13,2024,0.0
20052773005,3200,14,2024,0.0
20052773005,3200,15,2024,0.0
20052773005,3200,16,2024,0.0
20052773005,3200,17,2024,0.0
20052773005,3010,18,2023,0.377
20052773005,3010,19,2023,0.353
20052773005,3010,20,2023,0.334
20052773005,3010,21,2023,0.389
20052773005,3010,22,2023,0.455
20052773005,3010,23,2023,0.372
20052773005,3010,24,2023,0.308
20052773005,3010,25,2023,0.351
20052773005,3010,26,2023,0.388
20052773005,3010,27,2023,0.382
20052773005,3010,28,2023,0.344
20052773005,3010,29,2023,0.367
20052773005,3010,30,2023,0.353
20052773005,3010,31,2023,0.396
20052773005,3010,32,2023,0.428
20052773005,3010,33,2023,0.359
20052773005,3010,34,2023,0.398
20052773005,3010,35,2023,0.464
20052773005,3010,36,2023,0.454
20052773005,3010,37,2023,0.342
20052773005,3210,18,2023,0.301
20052773005,3210,19,2023,0.283
20052773005,3210,20,2023,0.267
20052773005,3210,21,2023,0.311
20052773005,3210,22,2023,0.364
20052773005,3210,23,2023,0.298
20052773005,3210,24,2023,0.247
20052773005,3210,25,2023,0.281
20052773005,3210,26,2023,0.31
20052773005,3210,27,2023,0.305
20052773005,3210,28,2023,0.276
20052773005,3210,29,2023,0.294
20052773005,3210,30,2023,0.283
20052773005,3210,31,2023,0.317
20052773005,3210,32,2023,0.342
20052773005,3210,33,2023,0.288
20052773005,3210,34,2023,0.318
20052773005,3210,35,2023,0.354
20052773005,3210,36,2023,0.346
20052773005,3210,37,2023,0.261
20052773005,3210,38,2023,0.277
20052773005,3210,39,2023,0.288
20052773005,3210,40,2023,0.303
20052773005,3210,41,2023,0.311
20052773005,3210,42,2023,0.282
20052773005,3210,43,2023,0.262
20052773005,3210,44,2023,0.311
20052773005,3210,45,2023,0.308
20052773005,3210,46,2023,0.298
