#{"t_start": 1689883493.8249385, "env_id": "None"}
r,l,t
-124235.187058,5,0.032082
5075679.556305,5,0.04007
7775441.274565,5,0.04007
2375334.699531,5,0.048066
-224493.674938,5,0.056005
2275246.606924,5,0.064037
2375437.918416,5,0.064037
7775198.485953,5,0.07199
5175574.846783,5,0.080062
2475413.938094,5,0.08805
2575688.170467,5,0.08805
2475372.360463,5,0.096051
-24542.923076,5,0.104042
-124725.067366,5,0.112038
2575151.373972,5,0.116565
2475042.721291,5,0.116565
-24373.919167,5,0.116565
2575469.800168,5,0.137464
10374838.778855,5,0.140033
5175329.155806,5,0.148116
-224762.4158,5,0.15611
2475496.09442,5,0.15611
5175434.878403,5,0.164103
-324917.168676,5,0.172128
5175324.854732,5,0.172128
4975127.598188,5,0.180131
2575332.685513,5,0.193271
10375446.650999,5,0.199904
10375197.743955,5,0.199904
5175475.684119,5,0.199904
7775502.879093,5,0.215624
2475443.110436,5,0.215624
10375068.656386,5,0.23125
5075167.821749,5,0.23125
2475565.763317,5,0.240364
10375690.598004,5,0.240364
5175244.449834,5,0.240364
2475195.558069,5,0.260844
10375405.716947,5,0.268874
-224409.929358,5,0.268874
5175092.985046,5,0.276939
5175101.480551,5,0.284932
10375067.406174,5,0.292927
2475451.524713,5,0.292927
-424886.440531,5,0.30093
5175168.520736,5,0.308926
2475318.607146,5,0.308926
10375492.061157,5,0.31655
10375421.418586,5,0.31655
10375474.466497,5,0.31655
5174907.384539,5,0.332275
5175226.160097,5,0.340392
5175288.126413,5,0.340392
7775471.757219,5,0.340392
7775616.499455,5,0.356131
10375227.193992,5,0.356131
5175250.829338,5,0.356131
-224960.202155,5,0.376501
5075197.142505,5,0.384545
5175102.322976,5,0.384545
7775531.880007,5,0.39256
5175274.229861,5,0.400529
5175005.962244,5,0.400529
4975394.800388,5,0.408587
-724739.709397,5,0.416516
2575670.024354,5,0.424577
10375292.61326,5,0.424577
7775294.030577,5,0.433209
2475327.565173,5,0.440809
10375289.756709,5,0.440809
10375381.6485,5,0.440809
2575257.494626,5,0.45655
10375512.983099,5,0.45655
2475568.255564,5,0.472162
10375352.127704,5,0.472162
10375549.505934,5,0.472162
7775357.059251,5,0.487785
5175380.68756,5,0.492474
10375480.87028,5,0.500549
7775471.516978,5,0.508537
7775485.539653,5,0.508537
5075343.018377,5,0.516541
10375408.673341,5,0.524554
5175674.892169,5,0.532553
5175249.859326,5,0.532553
-124626.119654,5,0.540549
2275491.642563,5,0.550128
10375254.950694,5,0.550128
10375499.642558,5,0.550128
5175381.749203,5,0.565846
10375187.233552,5,0.565846
5175252.662095,5,0.565846
2575478.611091,5,0.582335
10375241.588809,5,0.582335
5075251.712816,5,0.590332
10375335.070162,5,0.598424
5175686.210931,5,0.606398
7775201.86455,5,0.614395
7775362.988648,5,0.614395
5175328.405637,5,0.622388
-24373.877142,5,0.630414
5175014.144847,5,0.638417
5174919.98996,5,0.638417
-125115.830116,5,0.646408
5075355.264182,5,0.654406
5174916.518143,5,0.654406
7775356.019215,5,0.662401
10375426.476387,5,0.670397
5174974.775923,5,0.678406
10375343.152817,5,0.683282
5174922.27839,5,0.683282
5175348.121271,5,0.683282
10375060.353674,5,0.699008
7775194.476104,5,0.699008
7775140.226048,5,0.699008
5074940.537519,5,0.71956
2575390.84607,5,0.727625
7775252.163741,5,0.727625
